Title,trailer_title,channel_name,video_id,published_at,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment
The Diplomat,lV6sJlBbhPs,The Diplomat | Official Trailer | Netflix,Netflix,2023-04-05T14:00:02Z,3122966,21240,1120,50,0.703,0.77425
Shaadi Mein Zaroor Aana,pK0dr5wZ0bk,"Shaadi Mein Zaroor Aana (2017) Full Hindi Movie (4K) Rajkumar Rao, Kriti Kharbanda | Bollywood Movie",Ultra Movie Parlour,2024-04-16T11:34:42Z,76580584,887585,33563,0,,
12th Fail,KjbtuqENvVE,"12th Fail - Official Trailer | Vidhu Vinod Chopra | In Cinemas Worldwide 27th October, 2023",Zee Studios,2023-10-03T05:30:45Z,25437577,204002,6919,50,0.4413,0.6369
Selfiee,Ec2yJUY5KtQ,"SELFIEE Official Trailer | Akshay Kumar, Emraan, Nushrratt, Diana | Raj Mehta | In Cinemas Feb 24",Star Studios,2023-01-22T09:20:09Z,37599401,580803,38446,50,0.2041,0.1351
Great Grand Masti,ZojV0FC-KdI,"Great Grand Masti Official Trailer | Riteish, Vivek, Aftab, Urvashi",balajimotionpictures,2016-06-16T15:21:37Z,23229664,57111,0,0,,
Mere Desh Ki Dharti,vC73sFPIFzU,Mere Desh Ki Dharti Full Movie HD - CARNIVAL MOTION PICTURES,Carnival Motion Pictures,2023-06-29T09:07:03Z,12932508,207152,7260,0,,
Rashtra Kavach Om,coJrnPbbmwg,Rashtra Kavach Om | Official Trailer | Watch Now on ZEE5,ZEE5,2022-08-01T11:06:33Z,23911008,10217,269,0,,
Andhadhun,2iVYI99VGaw,AndhaDhun | Official Trailer | Tabu | Ayushmann Khurrana | Radhika Apte | 5th October,Viacom18 Studios,2018-09-01T21:12:32Z,28515281,243765,9016,0,,
Mr. & Mrs. Mahi,TVbI55pDdaI,"Tu Hain Toh | Mr. & Mrs. Mahi | Rajkummar Rao, Janhvi Kapoor | Hunny, Bunny, Sagar | Team Jaani",Sony Music India,2024-06-03T11:30:12Z,129919985,526761,6782,0,,
Nikamma,LCEMoVCaUOw,"Nikamma - Shilpa Shetty, Abhimanyu, Shirley | Javed Mohsin, Dev, Payal, Danish, Deane",Sony Music India,2022-05-24T05:30:02Z,50847767,440729,20741,50,0.5524,0.75775
Chhaava,nsC5PhXS19Y,Chhaava Teaser | Vicky Kaushal | Rashmika M | Akshaye K | Dinesh V | Laxman U | 14th Feb 2025,Maddock Films,2024-08-19T05:29:33Z,30883926,506567,24108,50,0.3411,0.4496
Jigra,1z64b54DKEI,NEW MOVIE | JIGRA - OFFICIAL THEATRICAL TRAILER | Alia Bhatt | Vedang Raina | Vasan Bala,StyleWave Studios,2024-09-11T01:36:36Z,2643,64,0,0,,
Gali Guleiyan,itPkmai3BY8,Gali Guleiyan - In the Shadows | India Official Trailer | Manoj Bajpayee | Dipesh Jain | 7th Sept,Worldwide Records INDIA,2018-08-24T13:43:28Z,470275,6707,214,0,,
Adipurush,jF5rJAXUY4A,Adipurush (Official Teaser) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,T-Series,2022-10-02T13:40:12Z,110377936,1795732,91103,50,0.2517,0.39135
Tu Jhoothi Main Makkaar,2yeRRm9AIxI,"Pyaar Hota Kayi Baar Hai (Full video) Tu Jhoothi Main Makkaar |Ranbir,Shraddha,Pritam,Arijit,Amitabh",T-Series,2023-03-22T13:30:11Z,151659581,628295,9009,50,0.4825,0.65765
Bell Bottom,A6eZ49O67YQ,"BellBottom | Official Trailer | Akshay Kumar | Vaani | Vashu, Jackky Bhagnani | Huma | Aug 19, 2021",Pooja Entertainment,2021-08-03T13:00:09Z,53809097,857219,111266,50,0.4119,0.4019
Sarfira,8Iy2geJD8HY,Sarfira – Official Trailer | Akshay Kumar | Paresh Rawal | Radhikka | Sudha Kongara | 12th July 2024,Abundantia Entertainment,2024-06-18T06:36:01Z,83804275,812431,34804,50,0.2499,0.44015
Operation Valentine,CRazFLVBhw4,"Operation Valentine | Official Hindi Teaser | Varun Tej, Manushi Chhillar| In Cinemas 1st March 2024",Sony Pictures Films India,2023-12-18T10:32:33Z,8875561,35086,2078,50,0.3186,0.48335
Akelli,KJhgqXku6jI,Akelli - Official Trailer | Nushrratt Bharuccha | 25th August,Dashami,2023-08-04T09:15:12Z,10768455,35648,9936,50,0.3832,0.51685
Kesari,JFP24D15_XM,Kesari | Official Trailer | Akshay Kumar | Parineeti Chopra | Anurag Singh,Dharma Productions,2019-02-21T05:28:13Z,62115716,1209451,79769,50,0.4315,0.65885
Yaatris,N2aoN5pZ6lo,Yaatris - Official Trailer | Raghubir Yadav| Seema Pahwa| Jamie Lever |Anuraag Malhan|Chahatt Khanna,Zee Music Company,2023-11-08T07:36:39Z,278462,908,54,41,0.4832,0.5994
Dear Dad,X7Bt9kjCf0E,"Dear Father Gujarati Movie | Official Trailer | Paresh Rawal, Mansi Parekh, Chetan Dhanani",Venus Movies,2022-02-11T05:30:04Z,1693481,31298,967,0,,
October,Mod_oXpftJA,"Thamma Official Trailer | Ayushmann, Rashmika, Paresh, Nawazuddin | In Cinemas This Diwali- 21st Oct",Maddock Films,2025-09-26T12:49:58Z,90154797,670316,43463,0,,
Mahavatar Narsimha,wkOYEhjAXyo,"Mahavatar Narsimha Official Teaser (Hindi) | Hombale Films | Kleem Productions | April 3, 2025",Hombale Films,2025-01-14T07:03:00Z,3167136,133924,4669,50,0.2234,0
Bheed,lGAKZ6L9IVo,"Bheed | Official Trailer | Rajkummar Rao, Bhumi Pednekar, Anubhav Sinha | 24 March 2023",T-Series,2023-03-17T08:49:21Z,3227896,68679,3619,50,0.246,0.25715
Nawabzaade,7G77hHNBO8w,OFFICIAL TRAILER: NAWABZAADE | Raghav | Punit | Dharmesh | Isha |  Movie Releasing ► 27July 2018,T-Series,2018-07-12T07:36:10Z,18285221,286415,8184,50,0.7164,0.84785
Ek Ladki Ko Dekha Toh Aisa Laga,fTauOK8J-U8,Ek Ladki ko dekha - Full Video HD | 1942 A love story | Anil Kapoor | Manisha Koirala,Vidhu Vinod Chopra Films,2016-04-15T13:48:27Z,50219792,333614,8961,47,0.4204,0.4767
Tu Hai Mera Sunday,W3cgHjja-X0,TU HAI MERA SUNDAY (YOU ARE MY SUNDAY) :: IN CINEMAS 6 OCTOBER 2017 (SG),Golden Village Pictures,2017-09-13T06:55:17Z,6063,17,0,0,,
Tumko Meri Kasam,YzUP-V5-lhI,"Tumko Meri Kasam - Official Trailer | Anupam Kher, Adah Sharma, Ishwak Singh, Esha Deol | 21st March",Zee Music Company,2025-03-04T07:00:28Z,10824145,62636,4458,50,0.3223,0.39185
Coffee with D,y_bdytr9fg8,Coffee With D Official Trailer | Sunil Grover | Hindi Trailer 2021 | Zakir Khan | Anjana Sukhani,Bolly Kick,2017-05-12T10:30:01Z,770541,9698,174,0,,
Merry Christmas,xwm2BIS81CU,Merry Christmas - Tamil Trailer | Vijay Sethupathi | Katrina Kaif | Sriram Raghavan | Ramesh Taurani,Tips Tamil,2023-12-20T11:50:13Z,5888702,57420,1132,50,0.5396,0.81175
Ajmer 92,HxJu7cV_VYI,Ajmer 92|Official Teaser|Karan Verma|Pushpendra Singh|Sumit Singh|U&K Films Entertainment|21 July,RelianceEntertainment,2023-07-13T09:00:09Z,495856,9869,897,50,0.3116,0.46715
Mitron,Wm2R3aJPY2M,Metro…In Dino (Official Trailer) | Anurag Basu | Bhushan Kumar | Releasing in Cinemas on 4th July,T-Series,2025-06-04T08:31:18Z,34377610,445612,16754,0,,
Saina,_PGEsEe33GY,"Saina - New Trailer | Parineeti Chopra, Eshan Naqvi, Shubhrajyoti Barat |Amazon Prime Video|April 23",Prime Video India,2021-04-16T08:34:18Z,4257939,2638,159,0,,
Game Over,BY-R6NcnkbE,Game Over| Hindi Official Trailer | Taapsee Pannu| Ashwin Saravanan | Y Not Studios | June 14,RelianceEntertainment,2019-05-30T07:37:34Z,11216332,94755,2789,0,,
Kedarnath,03-KVRmd3xo,Kedarnath | Official Trailer | Sushant Singh Rajput | Sara Ali Khan | Abhishek Kapoor | 7th December,RSVP Movies,2018-11-12T09:29:14Z,38189340,474497,24092,0,,
Emergency,ZWu2jk7IYv0,"Emergency | Official Trailer 2 |  Kangana Ranaut | In Cinemas 17th January, 2025",Zee Studios,2025-01-06T04:00:35Z,12005376,58699,4826,50,0.3344,0.6114
3 Storeys,niGkWc512fw,3 Storeys Official Trailer | Richa | Renuka Shahane | Pulkit | Masumeh | Sharman | Ankit | Aisha,Excel Movies,2018-02-07T11:08:52Z,4828099,14176,448,50,0.4171,0.59265
Metro... In Dino,UEZm0U6KrfY,"Metro…In Dino: Zamaana Lage (Song) | Anurag Basu | Pritam | Arijit Singh, Shashwat S | Bhushan Kumar",T-Series,2025-05-28T13:00:07Z,60671663,605123,29363,0,,
Trahimam,jgOi9JB4-KI,Trahimam (Trailer) Arshi Khan Pankaj Berry Directed By Dushyant Pratap Singh,Dushyant Corporation,2022-11-01T11:30:09Z,34218,279,14,9,0.7014,0.7783
102 Not Out,qrks9Zu0f1w,102 Not Out | Official Trailer | Amitabh Bachchan | Rishi Kapoor | Umesh Shukla | In Cinemas May 4th,Sony Pictures India,2018-03-28T07:10:16Z,17680514,192538,6501,50,0.6237,0.717
Commando 3,rSM-vQbGGJA,"COMMANDO 3 | The Power of Commando 3 | Vidyut, Adah, Angira, Gulshan | Vipul Amrutlal Shah",RelianceEntertainment,2019-11-27T05:28:55Z,62938135,921240,24758,47,0.4518,0.4939
Evening Shadows,iDpqasfWF9k,EVENING SHADOWS | OFFICIAL TRAILER | SRIDHAR RANGAYAN,Solaris Pictures,2017-05-27T22:24:19Z,203938,2141,370,50,0.6495,0.7933
Noor,DHuM6C6EyXE,Noor Official Trailer | Sonakshi Sinha | Sunhil Sippy | Releasing on 21 April 2017 | T-Series,T-Series,2017-03-07T07:55:54Z,14335208,59091,2839,50,0.5605,0.66645
Do Aur Do Pyaar,lZCWcsfc5Ho,"Do Aur Do Pyaar - Official Trailer | Vidya B, Pratik G, Ileana D, Sendhil R | Applause Entertainment",Applause Entertainment,2024-04-06T06:28:06Z,17230817,29048,651,50,0.5737,0.7676
Lakadbaggha,hep-UIKFg_Y,"Lakadbaggha - Official Trailer | Anshuman Jha, Ridhi Dogra, Milind Soman & Paresh Pahuja | 13th Jan",Zee Music Company,2023-01-03T07:45:03Z,3582376,87777,3080,50,0.4133,0.5915
Baar Baar Dekho,3uPtQp8ZT-Q,Baar Baar Dekho Official Trailer with English Subtitles | Katrina Kaif | Sidharth Malhotra,Eros n0w Official,2016-08-03T21:55:02Z,645979,9336,220,0,,
5 Weddings,gN7AeJ-mEIA,"'5 Weddings' | 26 OCT |  Nargis Fakhri, Rajkummar Rao, Bo Derek, Candy Clark",UniGlobe Entertainment,2018-06-05T09:36:40Z,10772443,74672,0,0,,
Mere Husband Ki Biwi,kPDPBU8eVuo,"Mere Husband Ki Biwi | Official Trailer | Arjun, Rakul, Bhumi | Mudassar | 21 Feb",Pooja Entertainment,2025-02-01T09:53:32Z,23827965,236891,6561,50,0.5571,0.6369
I Want to Talk,kZXlMsupVz8,I Want To Talk - Trailer | Shoojit Sircar | Abhishek A Bachchan | Rising Sun Films | Kino Works,Times Music,2024-11-05T07:30:33Z,877384,11056,560,50,0.5705,0.6369
Bharat,Ea_GKoe81GY,BHARAT | Official Trailer | Salman Khan | Katrina Kaif | Movie Releasing On 5 June 2019,T-Series,2019-04-22T08:30:00Z,78821846,1293204,87903,50,0.4278,0.60335
Parched,m69d-KNi2Q0,"Parched | Official Trailer | Ajay Devgn | Leena Yadav | Tannishtha, Radhika, Surveen & Adil Hussain",Devgn Films,2016-09-12T08:59:23Z,10063026,45588,1176,50,0.5211,0.6418
Pal Pal Dil Ke Paas,lgTHGZF3BQw,"Pal Pal Dil Ke Paas - Title | Arijit Singh | Karan Deol, Sahher | Parampara, Sachet, Rishi Rich",Zee Music Company,2019-08-27T03:30:14Z,289116360,3618489,81241,50,0.6125,0.8098
Ram Setu,VgGgYOzNWno,Ram Setu | Official Trailer | Hindi | Akshay Kumar | Only in Theatres 25th Oct 2022,Zee Studios,2022-10-11T06:25:15Z,43035443,783816,47749,50,0.2672,0.5291
Haseena Parkar,RvRn6HFweO0,shraddha kapoor 2017  Haseena Parkar Official Trailer,Universal Cinema,2017-08-04T11:35:36Z,20,0,0,0,,
Chhichhore,tsxemFX0a7k,Chhichhore | Official Trailer | Nitesh Tiwari | Sushant | Shraddha | Sajid Nadiadwala | 6th Sept,Star Studios,2019-08-04T05:28:48Z,51976493,803958,21779,0,,
Ittefaq,mvfvoCdPrII,"Ittefaq | Trailer | Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna",Red Chillies Entertainment,2017-10-05T05:30:18Z,24081348,206222,11380,0,,
Main Atal Hoon,zasckclx0Gc,Main Atal Hoon | Official Trailer | Pankaj Tripathi | Ravi Jadhav | Watch Now on ZEE5,ZEE5,2024-03-11T05:23:22Z,13825372,5621,192,0,,
Jersey,9hZ2UW6Jv-I,Jersey - New Official Trailer | Shahid Kapoor | Mrunal Thakur | Gowtam Tinnanuri | 22nd April 2022,Zee Music Company,2022-04-04T07:30:19Z,56375543,254687,12171,50,0.3406,0.5106
Mardaani 2,dKeRIOA28Jk,Mardaani 2 | Official Trailer | Rani Mukerji | Vishal Jethwa | Gopi Puthran,YRF,2019-11-14T05:30:11Z,22644360,411521,16813,50,0.4281,0.5783
Mission Raniganj,QFf91hnpClI,Mission Raniganj: The Great Bharat Rescue | Official Trailer | Akshay Kumar | In Cinemas 6th October,Pooja Entertainment,2023-09-25T08:35:42Z,57661357,318145,12315,0,,
Kooki,x7JpCGSgsAI,KOOKI | Official Trailer | Ritisha Khaund | Bodhisattva Sharma | Rajesh Tailang ‪,RelianceEntertainment,2024-06-19T12:37:27Z,209142,1037,32,5,0.6395,0.765
Sky Force,OdrOp7JwZiE,"Rang | Sky Force | Akshay Kumar, Veer P, Sara, Nimrat, Tanishk, Satinder Sartaaj, Zahrah, Shloke",Saregama Music,2025-01-17T12:51:59Z,57670524,305097,6013,50,0.4658,0.6369
Zero Se Restart,qZFbp8ltfOs,Zero Se Restart Movie Review | Yogi Bolta Hai,YOGI BOLTA HAI,2024-12-13T10:42:32Z,653081,19705,390,0,,
Nishaanchi,QKem0b7Q40I,Nishaanchi - Official Trailer | In Cinemas - September 19 | Amazon MGM Studios India,MGM Studios India,2025-09-03T08:15:06Z,25335679,16783,578,50,0.4152,0.50055
Milan Talkies,Efl-kaJjalk,"Milan Talkies - Theatrical Trailer | Tigmanshu D, Ali Fazal, Shraddha Srinath, Ashutosh R, Sanjay M",Zee Music Company,2019-03-04T11:30:13Z,12967871,13352,488,50,0.6009,0.67765
Nazar Andaaz,quS0KgQzCQ0,ANDAAZ 2 | Official Trailer | Aayush Kumar | Aakaisha | Natasha Fernandez | Suneel Darshan #andaaz2,Shree Krishna International,2025-07-28T12:30:03Z,10047267,64537,7090,0,,
Luka Chuppi,#NAME?,"Luka Chuppi Official Trailer | Kartik Aaryan, Kriti Sanon, Dinesh Vijan, Laxman Utekar | Mar 1",Maddock Films,2019-01-24T07:34:23Z,69319545,972276,25857,0,,
Bhool Chuk Maaf,w_EQg4TO1Nc,"Chor Bazari Phir Se | Bhool Chuk Maaf | Rajkummar, Wamiqa | Pritam, Tanishk, Irshad, Neeraj, Sunidhi",Sony Music India,2025-04-24T07:30:08Z,37095410,574150,17569,50,0.6463,0.8555
Maarrich,NKz9oJhVT6g,Maarrich - Official Trailer | Tusshar Kapoor | Naseeruddin Shah | Rahul Dev | 9th December,Tips Official,2022-11-19T07:18:15Z,1070342,7284,322,0,,
Beiimaan Love,VkMG5z-5Tjo,"Main Adhoora  | Beiimaan Love| Sunny Leone | Aakanksha Sharma , Sanjiv Darshan",Zee Music Company,2016-09-02T09:24:49Z,168886463,463750,6463,16,0.4202,0.51045
Sonu Ke Titu Ki Sweety,j1eogRUC-r8,"Sonu Ke Titu Ki Sweety Official Trailer | Luv Ranjan | Kartik Aaryan, Nushrat Bharucha, Sunny Singh",Luv Films,2019-12-11T08:18:08Z,966018,10253,118,0,,
Partition: 1947,YGb2W3USPBU,PARTITION:1947 | OFFICIAL TRAILER | 18th August 2017 | GURINDER CHADHA | A. R. RAHMAN | HUMA QURESHI,RelianceEntertainment,2017-06-29T12:52:07Z,7195479,62280,3891,48,0.2145,0.2846
Kaagaz 2,6DqSLijSY9I,"Kaagaz Movie Trailer | Pankaj Tripathi, Satish Kaushik | A ZEE5 Original Film | Streaming on ZEE5",ZEE5,2020-12-24T09:39:18Z,13124638,267629,8967,50,0.6099,0.7935
Jia aur Jia,Ckcj1x7oY6A,Jia Aur Jia Official Trailer | Richa Chadha | Kalki Koechlin | Arslan | Howard Rosemeyer | 27 Oct,Connecting Bollywood AB,2017-09-27T08:39:36Z,4338822,12074,427,50,0.4444,0.5719
Azhar,C1MOI8vaQos,"Azhar | Official Trailer| Emraan Hashmi, Nargis Fakhri, Prachi Desai, Lara Dutta, Gautam Gulati",Sony Pictures Films India,2016-04-01T13:58:16Z,1613867,13620,332,50,0.3057,0.43095
The Bengal Files,hYpdzoO4wz8,THE BENGAL FILES Teaser | Vivek Agnihotri | Abhishek A | Pallavi J | In Cinemas 5 Sept 2025,Abhishek Agarwal Arts,2025-06-12T06:45:00Z,578974,24841,2121,0,,
Wah Taj,2T0KIVeExFE,Wah Taj | Full Movie | Shreyas Talpade & Manjari Fadnnis | Bollywood Comedy Movie,Pen Movies,2018-05-05T11:25:41Z,28536334,224384,6239,0,,
Ganapath,szovD3BnvJI,"GANAPATH Official Hindi Trailer | Amitabh B, Tiger S, Kriti S | Vikas B, Jackky B  | 20th Oct' 23",Pooja Entertainment,2023-10-09T11:24:13Z,22765386,248330,19802,50,0.2628,0.4404
Double XL,2mztRw4Z7FI,"Double XL (Official Trailer) Sonakshi Sinha, Huma Qureshi | T-Series | Trailer",Avi Entertainment,2022-10-12T23:30:00Z,2403,12,0,0,,
Fanney Khan,uxLR6529mdw,"FANNEY KHAN Official Trailer | Anil Kapoor, Aishwarya Rai Bachchan, Rajkummar Rao",T-Series,2018-07-06T07:30:02Z,26040844,263235,9206,0,,
Freaky Ali,GpaujAio7ss,"Freaky Ali Full Movie | Nawazuddin Siddiqui, Amy Jackson, Jackie Shroff | Full Hindi Movie",NH Studioz,2023-07-22T06:30:09Z,21409075,219756,3112,0,,
Jahangir National University,uFCFmn3d0Tw,"Main Nahi Manta - JNU: Jahangir National University | Piyush Mishra, Urvashi R, Siddharth | Vijay V",Zee Music Company,2024-03-21T09:08:26Z,2102136,36996,3316,50,0.3786,0.43715
Tera Intezaar,LEAltJ6l2qE,Tera Intezaar Official Trailer 2017 Released | Sunny Leone | Arbaaz Khan,MT Everest Films,2017-11-12T13:53:16Z,5221,28,0,0,,
Bad Newz,Ujb2c508yw0,Jaanam | Bad Newz | Vicky Kaushal | Triptii Dimri | Vishal Mishra,Saregama Music,2024-07-09T10:30:07Z,60288211,377207,14182,50,0.2198,0.2899
Tipppsy,Uzonzi6fKDk,"UNCUT - Tipppsy Official Trailer Launch | Pooja Bhatt, Mahesh Bhatt, Deepak Tijori | Entire Cast",Viralbollywood,2024-04-25T09:36:02Z,6242,65,11,10,0.6077,0.8232
Zubaan,Y1ZK_okNmxQ,Zubaan Official Trailer | Vicky Kaushal & Sarah Jane Dias | Releasing 4th March 2016,Sikhya Entertainment,2016-01-13T08:29:44Z,5662626,45405,836,50,0.4162,0.49135
Chicken Curry Law,lnLYzGYzAQo,"Full Movie | चिकन करी लॉ | Ashutosh Rana, Natalia Janoszek | Chicken Curry Law | Hindi Movie 2023",Wave Music Bhojpuri,2023-07-16T12:30:19Z,5315922,51480,1708,0,,
Yamla Pagla Deewana: Phir Se,MCPez-21X3U,Yamla Pagla Deewana Phir Se | Trailer | Dharmendra | Sunny Deol | Bobby Deol | Navaniat Singh,Saregama Music,2018-08-10T08:31:59Z,19709828,228064,9980,50,0.5976,0.71935
Neerja,F8RezGsOVho,"Neeraja Malayalam Movie Official Trailer | Guru S,Sruthi | Sachin Shankor Mannath | Rajesh K Raman",T-Series Malayalam,2023-05-14T04:29:10Z,1332553,8862,702,0,,
Housefull 4,gcHH34cEl3Y,Housefull 4 |Official Trailer|Akshay|Riteish|Bobby|Kriti S|Pooja|Kriti K|Sajid N|Farhad| Oct 25,Star Studios,2019-09-27T08:21:49Z,127325188,1856366,64735,50,0.6347,0.7889
Mercury,W7K61mvsr_8,Mercury | Official Trailer | Parbhu Deva | Kartik Subbhraj 2018,Standard Films,2018-04-12T20:40:13Z,108,2,0,0,,
Ground Zero,Qu1ynfL1g70,From Ground Zero | Official Trailer HD | In Theaters NOW!,Watermelon Pictures,2024-11-25T16:48:00Z,156002,2570,244,50,0.3232,0.5106
Haathi Mere Saathi,AFr2rI3kEc8,"हाथी मेरे साथी | Haathi Mere Saathi | Rana Daggubati, Pulkit Samrat,Shriya Pilgaonkar | Hindi Movie",Mzaalo Big Picture,2023-12-01T13:30:04Z,13725401,136931,2542,0,,
Maidaan,#NAME?,Maidaan Final Trailer | Ajay Devgn | Priyamani | 10 Apr | Amit S | Boney K | A.R.Rahman | Fresh Lime,Zee Studios,2024-04-02T05:37:06Z,42568694,109792,2661,50,0.3978,0.6249
